Inversions-based#Algorithm
$\lambda$ Average#Amount#of#Operations Average#Approximation#Factor Maximum#Approximation#Factor Minimum#Approximation#Factor
5 88.07 2.73 3.22 2.19
10 103.61 3.15 3.72 2.71
15 112.78 3.40 4.00 2.82
20 118.61 3.56 4.25 3.00
25 123.04 3.68 4.58 3.18
30 126.31 3.77 4.42 3.03
35 129.01 3.85 4.55 3.21
40 131.50 3.92 4.62 3.24
45 132.68 3.96 4.82 3.30
50 134.54 4.00 4.68 3.38
55 136.37 4.06 5.03 3.35
60 138.15 4.10 4.82 3.41
65 139.30 4.12 5.09 3.50
70 140.32 4.15 4.91 3.47
75 141.56 4.18 4.91 3.53
80 141.98 4.19 5.00 3.59
85 142.11 4.19 4.82 3.44
90 142.96 4.22 5.21 3.65
95 143.02 4.22 5.06 3.53
100 142.57 4.20 5.15 3.71
